gesture,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18],[19],[20]
0.0,"0.3317165970802307,0.46005308628082275,-9.286786450957152e-08","0.33958712220191956,0.42553216218948364,-0.0026043918915092945","0.3404023349285126,0.39932674169540405,-0.006100872065871954","0.3386244773864746,0.3794836699962616,-0.01045574527233839","0.3326190710067749,0.37138521671295166,-0.013316682539880276","0.3068505525588989,0.3872593641281128,0.0005738314939662814","0.32153958082199097,0.365978479385376,-0.007896855473518372","0.3300076723098755,0.37939488887786865,-0.012381664477288723","0.3296191394329071,0.3883506655693054,-0.014474225230515003","0.30272388458251953,0.3938223421573639,-0.0020542151760309935","0.32515937089920044,0.3769751787185669,-0.009743619710206985","0.3324948251247406,0.3965543806552887,-0.011105170473456383","0.32804638147354126,0.40443742275238037,-0.010708451271057129","0.303240567445755,0.4030003249645233,-0.0059904735535383224","0.3271084427833557,0.389730304479599,-0.013361617922782898","0.33275097608566284,0.4078100025653839,-0.012050244957208633","0.327823668718338,0.41492530703544617,-0.009766100905835629","0.3070138990879059,0.413065105676651,-0.010407067835330963","0.3265743851661682,0.40306714177131653,-0.014191792346537113","0.3307969570159912,0.4158616065979004,-0.0129426633939147","0.3268028795719147,0.42333826422691345,-0.011086642742156982"
0.0,"0.34134232997894287,0.45342522859573364,-1.0029631880570378e-07","0.3505423963069916,0.416250079870224,-0.000399951939471066","0.3511837422847748,0.390097975730896,-0.003113384125754237","0.3510310649871826,0.37175247073173523,-0.006954321172088385","0.34705042839050293,0.3615607023239136,-0.009368723258376122","0.31695911288261414,0.3802306056022644,0.0011110317427664995","0.33459046483039856,0.35671478509902954,-0.006146324332803488","0.3404501974582672,0.37357133626937866,-0.01024071965366602","0.336152046918869,0.3824259340763092,-0.01285568717867136","0.3138502836227417,0.3851463198661804,-0.0026424149982631207","0.3376752436161041,0.3654369115829468,-0.009181465022265911","0.34246522188186646,0.38441625237464905,-0.01044277660548687","0.336601197719574,0.39040517807006836,-0.010932739824056625","0.3157351613044739,0.3928251564502716,-0.0073444293811917305","0.3404724597930908,0.37854066491127014,-0.012482484802603722","0.34408724308013916,0.39653289318084717,-0.011008817702531815","0.33784064650535583,0.4030317962169647,-0.009996984153985977","0.32110804319381714,0.40061336755752563,-0.012539545074105263","0.3422381281852722,0.39279183745384216,-0.015231451950967312","0.34488534927368164,0.4068847894668579,-0.014772698283195496","0.3394198417663574,0.41385921835899353,-0.014428352005779743"
0.0,"0.3495866656303406,0.4474344849586487,-9.068858730643115e-08","0.3593238294124603,0.4110037088394165,-0.00037148388219065964","0.3602835237979889,0.38288336992263794,-0.0031055316794663668","0.36111733317375183,0.36266303062438965,-0.0068590170703828335","0.35720914602279663,0.3546289801597595,-0.00939162913709879","0.3256186246871948,0.3723601698875427,-0.00012612777936737984","0.3441314101219177,0.35046979784965515,-0.006534226704388857","0.34997329115867615,0.3653186857700348,-0.009976447559893131","0.34632912278175354,0.37315693497657776,-0.012225480750203133","0.32398074865341187,0.3775739073753357,-0.003727119415998459","0.3498939275741577,0.3597433865070343,-0.009499087929725647","0.35423094034194946,0.3782396912574768,-0.010441250167787075","0.348043292760849,0.38458579778671265,-0.010772542096674442","0.32745206356048584,0.38540059328079224,-0.008076012134552002","0.3538072109222412,0.3718874454498291,-0.012879829853773117","0.35682499408721924,0.3895430862903595,-0.011959424242377281","0.3504360020160675,0.39559006690979004,-0.011312730610370636","0.3341560661792755,0.3931454122066498,-0.012803485617041588","0.35634028911590576,0.3851366639137268,-0.015293091535568237","0.35897770524024963,0.39814284443855286,-0.01512395590543747","0.35403937101364136,0.4040847420692444,-0.01498466357588768"
0.0,"0.35544463992118835,0.44620051980018616,-8.296046161149206e-08","0.3606783449649811,0.4138944745063782,-0.0015303881373256445","0.36272233724594116,0.3815211057662964,-0.0048376512713730335","0.3663325905799866,0.3570098876953125,-0.008705946616828442","0.3668304681777954,0.3524833917617798,-0.011470859870314598","0.3326900005340576,0.36773452162742615,-0.0021845493465662003","0.3537529706954956,0.3467410206794739,-0.007401704788208008","0.3593052923679352,0.36004310846328735,-0.009994253516197205","0.3564583659172058,0.36885514855384827,-0.011726630851626396","0.33471837639808655,0.373889297246933,-0.004863742273300886","0.36163830757141113,0.35982468724250793,-0.009521829895675182","0.36417779326438904,0.3784264028072357,-0.009830614551901817","0.3579816520214081,0.3858325779438019,-0.009883152320981026","0.3406378924846649,0.3815422058105469,-0.008144496008753777","0.3667205274105072,0.3701551556587219,-0.012031937949359417","0.36703893542289734,0.38722968101501465,-0.011268552392721176","0.36061790585517883,0.3941463828086853,-0.010781778022646904","0.3485867381095886,0.38921114802360535,-0.011829426512122154","0.3694014549255371,0.38055288791656494,-0.013475246727466583","0.3697185814380646,0.3939582407474518,-0.013054948300123215","0.36476534605026245,0.400932639837265,-0.012748622335493565"
0.0,"0.35836470127105713,0.4435957074165344,-6.935596275070566e-08","0.3559839725494385,0.41264623403549194,0.0016236022347584367","0.35833415389060974,0.3801233470439911,-0.0013740812428295612","0.3666132092475891,0.35492077469825745,-0.005411774851381779","0.3707759380340576,0.3523666262626648,-0.00859696976840496","0.33565616607666016,0.36739563941955566,-0.0021512594539672136","0.35502129793167114,0.34462225437164307,-0.006626751273870468","0.3611298203468323,0.35792678594589233,-0.009063741192221642","0.3591771423816681,0.36824432015419006,-0.010827865451574326","0.33956077694892883,0.3724048137664795,-0.006382533814758062","0.3647047281265259,0.35722920298576355,-0.009448385797441006","0.36821091175079346,0.3733072280883789,-0.009686416946351528","0.36319050192832947,0.3812853991985321,-0.010217681527137756","0.3469894826412201,0.3789445757865906,-0.010645436123013496","0.3713134229183197,0.366700142621994,-0.012888496741652489","0.37266775965690613,0.381924569606781,-0.011449606157839298","0.36681699752807617,0.3888118267059326,-0.01088631246238947","0.3563717305660248,0.3856901526451111,-0.015020076185464859","0.3752549886703491,0.37604275345802307,-0.014961650595068932","0.3762640953063965,0.3893248736858368,-0.012967829592525959","0.37151795625686646,0.3963623046875,-0.011845928616821766"
0.0,"0.3706613779067993,0.4410765767097473,-7.95175267853665e-08","0.3617817759513855,0.4104553461074829,0.0025748207699507475","0.3627795875072479,0.3757306635379791,-0.00018867990002036095","0.3726758360862732,0.3505241572856903,-0.0038891644217073917","0.3825441896915436,0.3450373709201813,-0.0067825536243617535","0.3477100133895874,0.36590564250946045,-0.004007517360150814","0.36737439036369324,0.33847808837890625,-0.007116516586393118","0.37210968136787415,0.3537190854549408,-0.007867438718676567","0.3697630763053894,0.3648780882358551,-0.008810043334960938","0.35400643944740295,0.3694888651371002,-0.008550317026674747","0.37649595737457275,0.34988903999328613,-0.009999889880418777","0.37891995906829834,0.3650977611541748,-0.00947326049208641","0.3749288022518158,0.3730435371398926,-0.010041328147053719","0.3633687496185303,0.37466150522232056,-0.012692549265921116","0.3845680356025696,0.359965056180954,-0.012278217822313309","0.3851589560508728,0.3737977147102356,-0.01010447833687067","0.379871129989624,0.38064825534820557,-0.010028749704360962","0.3741813600063324,0.3802647590637207,-0.016916904598474503","0.38984423875808716,0.3707733452320099,-0.0146455904468894","0.38996484875679016,0.384479284286499,-0.011893401853740215","0.3854353725910187,0.39096829295158386,-0.01094813086092472"
0.0,"0.3792272210121155,0.4365980625152588,-7.59074652023628e-08","0.36793816089630127,0.40811359882354736,0.002686647931113839","0.3676043748855591,0.3753260374069214,0.00014013436157256365","0.37676042318344116,0.3501496911048889,-0.0032196654938161373","0.3870144486427307,0.3434778153896332,-0.005728397984057665","0.35546496510505676,0.36469796299934387,-0.004760393872857094","0.37221309542655945,0.3364115059375763,-0.007679949048906565","0.37728291749954224,0.35051652789115906,-0.008163698017597198","0.37539947032928467,0.3616734743118286,-0.008662743493914604","0.3637116551399231,0.36721640825271606,-0.00896687526255846","0.3836144804954529,0.34703829884529114,-0.009595364332199097","0.3861161768436432,0.36089271306991577,-0.008721230551600456","0.38244715332984924,0.36887210607528687,-0.009138344787061214","0.3746238052845001,0.37122195959091187,-0.012648139148950577","0.39309513568878174,0.3574181795120239,-0.011674380861222744","0.39324936270713806,0.37052521109580994,-0.00927042681723833","0.38813912868499756,0.37714603543281555,-0.009094125591218472","0.38659045100212097,0.37611448764801025,-0.0163266621530056","0.4002874195575714,0.36615729331970215,-0.013508402742445469","0.3994835615158081,0.3799822926521301,-0.010161959566175938","0.39469701051712036,0.386674702167511,-0.00876147486269474"
0.0,"0.3877788782119751,0.4374004006385803,-1.0560877683474246e-07","0.3756856322288513,0.4091668426990509,0.0043584625236690044","0.3756457269191742,0.3767256736755371,0.0029822620563209057","0.3838716149330139,0.3504348397254944,0.0006974773714318871","0.3925155997276306,0.34045982360839844,-0.0008682745974510908","0.3644237816333771,0.36476966738700867,-0.003246141830459237","0.37815555930137634,0.33614858984947205,-0.004721880424767733","0.383110374212265,0.3492853045463562,-0.00456406082957983","0.38132745027542114,0.36082497239112854,-0.004509595688432455","0.37437039613723755,0.3661644756793976,-0.007531433366239071","0.3895455300807953,0.3472980260848999,-0.005439561326056719","0.39241719245910645,0.35939761996269226,-0.0037656656932085752","0.3896225094795227,0.3669987618923187,-0.004143660422414541","0.38669613003730774,0.36972683668136597,-0.010996665805578232","0.3994539976119995,0.35532933473587036,-0.007708772085607052","0.40046581625938416,0.36717185378074646,-0.004247196950018406","0.3970533609390259,0.3749419152736664,-0.003819535719230771","0.39929038286209106,0.3747557997703552,-0.0142963333055377","0.40805569291114807,0.36288952827453613,-0.009591133333742619","0.4077908992767334,0.3757162392139435,-0.004843594040721655","0.4047967493534088,0.38323837518692017,-0.002607590053230524"
0.0,"0.3967854082584381,0.4401624798774719,-1.0551475071451932e-07","0.38183024525642395,0.41258862614631653,0.004403091501444578","0.377894788980484,0.38418614864349365,0.0035153108183294535","0.3838173747062683,0.3635697364807129,0.0019161964301019907","0.3936685621738434,0.3557976484298706,0.0007992520113475621","0.37291768193244934,0.367323100566864,-0.004599208477884531","0.38343343138694763,0.33785343170166016,-0.00500616617500782","0.3882838189601898,0.3499700725078583,-0.003299615578725934","0.38648974895477295,0.3629712760448456,-0.001993716461583972","0.3848520517349243,0.36696597933769226,-0.008236232213675976","0.3958101272583008,0.3456312417984009,-0.005230980459600687","0.3989485502243042,0.3578549325466156,-0.0021303286775946617","0.3966623842716217,0.3683582544326782,-0.0013221281114965677","0.3981921076774597,0.3701193630695343,-0.010855795815587044","0.40626680850982666,0.35443660616874695,-0.006967098452150822","0.40752699971199036,0.36637985706329346,-0.0027522107120603323","0.40500956773757935,0.3765469789505005,-0.0016502960352227092","0.41078445315361023,0.3763744533061981,-0.013180366717278957","0.4152481257915497,0.36213842034339905,-0.008541780523955822","0.41540655493736267,0.3747483789920807,-0.0031866934150457382","0.4136722981929779,0.3844936490058899,-0.0002096413663821295"
0.0,"0.40554893016815186,0.44136524200439453,-1.2261530457635672e-07","0.38935238122940063,0.41649189591407776,0.004023676738142967","0.38421550393104553,0.39017924666404724,0.0034185273107141256","0.38801485300064087,0.367678165435791,0.0023961823899298906","0.3968299329280853,0.357527494430542,0.0019099846249446273","0.38153722882270813,0.37108302116394043,-0.0048947567120194435","0.38792940974235535,0.3407738208770752,-0.004549090284854174","0.39162111282348633,0.35328131914138794,-0.0020209508948028088","0.3905719816684723,0.36680394411087036,-6.691506860079244e-05","0.3950884938240051,0.3692939877510071,-0.007649249862879515","0.39992979168891907,0.34660574793815613,-0.003844302147626877","0.4021454453468323,0.3578326106071472,-5.3377621952677146e-05","0.4011021554470062,0.36908096075057983,0.0012377351522445679","0.4089135527610779,0.371019184589386,-0.00932752713561058","0.4109256863594055,0.3539382815361023,-0.004857711493968964","0.4118999242782593,0.3641487658023834,-0.0005223160260356963","0.41081681847572327,0.3746800124645233,0.000634081254247576","0.4212262034416199,0.3760702908039093,-0.010623294860124588","0.4196738302707672,0.3621677756309509,-0.005927955731749535","0.4195542633533478,0.3727840185165405,-0.0006550914840772748","0.4194433093070984,0.3821323812007904,0.002342190593481064"
0.0,"0.41352221369743347,0.44177350401878357,-1.3289282208006625e-07","0.39577779173851013,0.41975170373916626,0.003734062658622861","0.38913166522979736,0.39332857728004456,0.003562085796147585","0.3915315866470337,0.3694484233856201,0.0031415976118296385","0.3997458815574646,0.35929375886917114,0.0031889593228697777","0.3893337845802307,0.3725219666957855,-0.004606925882399082","0.3923417627811432,0.34333187341690063,-0.003645707853138447","0.39505258202552795,0.35520291328430176,-0.0010045416420325637","0.3946937322616577,0.36760804057121277,0.0009381290874443948","0.40340888500213623,0.3695014715194702,-0.00667706411331892","0.40478745102882385,0.3485202193260193,-0.0024231865536421537","0.40598708391189575,0.35923463106155396,0.0013986392877995968","0.4054928421974182,0.3699779808521271,0.0027435775846242905","0.4169231355190277,0.3704949617385864,-0.007640541531145573","0.4154120683670044,0.35536569356918335,-0.003230338217690587","0.41581007838249207,0.3641814589500427,0.00048009277088567615","0.4153594970703125,0.3740741014480591,0.0013946413528174162","0.4283653497695923,0.37495148181915283,-0.008149736560881138","0.4242863953113556,0.36149221658706665,-0.003763955319300294","0.42406415939331055,0.37029606103897095,0.0009810413466766477","0.4246140420436859,0.3792559802532196,0.003780585015192628"
0.0,"0.42248669266700745,0.44217339158058167,-1.3879242999337293e-07","0.4033869802951813,0.42109185457229614,0.002916324185207486","0.3958001136779785,0.39404869079589844,0.002524548675864935","0.3970925807952881,0.3701556324958801,0.002146229613572359","0.4043498933315277,0.3590274453163147,0.0022617920767515898","0.3987202048301697,0.372956782579422,-0.005663892719894648","0.3988412916660309,0.34444737434387207,-0.0045129163190722466","0.4007767140865326,0.35712888836860657,-0.0016246031736955047","0.4008667767047882,0.37019965052604675,0.00043390828068368137","0.4129750728607178,0.36942604184150696,-0.007152969017624855","0.41096946597099304,0.3492664694786072,-0.002852774690836668","0.4115591049194336,0.3602261543273926,0.0010625938884913921","0.41169023513793945,0.3712538778781891,0.002368018962442875","0.4261274039745331,0.3701457977294922,-0.007528120651841164","0.42167937755584717,0.3561802804470062,-0.003170913318172097","0.4217350482940674,0.36491823196411133,0.000434983114246279","0.421776682138443,0.3752787411212921,0.0011571303475648165","0.43693971633911133,0.374141663312912,-0.007487713359296322","0.4310269355773926,0.3617385923862457,-0.003500596387311816","0.43066734075546265,0.370652437210083,0.0009248942951671779","0.4315977990627289,0.3800058960914612,0.0034689614549279213"
0.0,"0.4266977906227112,0.44302499294281006,-1.320307916330421e-07","0.40711548924446106,0.42263442277908325,0.0024442512076348066","0.3988092839717865,0.39613571763038635,0.00212300312705338","0.40033599734306335,0.371892511844635,0.0018709016731008887","0.408781498670578,0.36123231053352356,0.0022557026240974665","0.4031182825565338,0.3743270933628082,-0.005577031522989273","0.40221548080444336,0.34579890966415405,-0.004182568751275539","0.4037867784500122,0.3583553433418274,-0.000998685136437416","0.4048908054828644,0.3715507686138153,0.0012133719865232706","0.4170132279396057,0.369922935962677,-0.00682171992957592","0.4147568643093109,0.35040679574012756,-0.002616601763293147","0.4148060381412506,0.3614455759525299,0.0013461197959259152","0.4152145981788635,0.37282097339630127,0.0028468689415603876","0.4296868145465851,0.37020260095596313,-0.007019645068794489","0.42505624890327454,0.3573927879333496,-0.0030417549423873425","0.4246996343135834,0.36630168557167053,0.00047857442405074835","0.4249900281429291,0.3769506514072418,0.0013429460814222693","0.44011548161506653,0.37409117817878723,-0.006866151932626963","0.4342893660068512,0.362576425075531,-0.003548950655385852","0.43357282876968384,0.37138253450393677,0.00046596655738539994","0.43440932035446167,0.38112083077430725,0.0029182839207351208"
0.0,"0.43089619278907776,0.4450937509536743,-1.3127390730005573e-07","0.4105738401412964,0.42534253001213074,0.0013864674838259816","0.4024238884449005,0.39793646335601807,0.0006978445453569293","0.40518516302108765,0.37373581528663635,5.5715081543894485e-05","0.41437140107154846,0.36315980553627014,4.1308634536108e-05","0.40675801038742065,0.37655818462371826,-0.0050794691778719425","0.4048878252506256,0.3482111096382141,-0.004772265907377005","0.4062560796737671,0.3617080748081207,-0.0028072409331798553","0.4077533185482025,0.3753967583179474,-0.001306128571741283","0.42075154185295105,0.3715011179447174,-0.0059923515655100346","0.4169817268848419,0.35235264897346497,-0.0028395403642207384","0.4167536795139313,0.36402809619903564,0.00033382009132765234","0.4173985421657562,0.37567076086997986,0.0015224897069856524","0.4332098066806793,0.370951771736145,-0.006172338966280222","0.4272659122943878,0.35867661237716675,-0.003154406789690256","0.4265281558036804,0.36847352981567383,-0.00010695448872866109","0.42693790793418884,0.3792908191680908,0.0007441307534463704","0.4432806670665741,0.3737736940383911,-0.006125823128968477","0.4362681210041046,0.36316654086112976,-0.003333766246214509","0.43531864881515503,0.37247365713119507,0.0003854448441416025","0.4363240599632263,0.38209769129753113,0.0027609835378825665"
0.0,"0.4321466088294983,0.445032000541687,-1.2372622393286292e-07","0.4121628999710083,0.42541876435279846,0.0010229103500023484","0.40345391631126404,0.39947471022605896,-0.00023648657952435315","0.4056754410266876,0.3754284381866455,-0.0012515491107478738","0.41448816657066345,0.36451637744903564,-0.0015904795145615935","0.40802130103111267,0.3790012300014496,-0.00717409560456872","0.4065992832183838,0.34905532002449036,-0.007132884580641985","0.4079775810241699,0.3622671365737915,-0.005038008559495211","0.40918871760368347,0.3758227527141571,-0.0034747396130114794","0.4219762682914734,0.37358832359313965,-0.008042322471737862","0.4189193844795227,0.3534276485443115,-0.005042987409979105","0.4189183712005615,0.3647216856479645,-0.00163410569075495","0.4193985164165497,0.3763170540332794,-0.0004051976138725877","0.4346156418323517,0.37279754877090454,-0.008051885291934013","0.429227739572525,0.36019447445869446,-0.004888382740318775","0.4289691150188446,0.36962491273880005,-0.0013337853597477078","0.4294644892215729,0.3805007338523865,-0.00032770202960819006","0.44504067301750183,0.3754081726074219,-0.007867617532610893","0.438332200050354,0.3644053339958191,-0.00513886334374547","0.4376455843448639,0.3735191226005554,-0.0012111065443605185","0.4386023283004761,0.3831154704093933,0.0012442778097465634"
0.0,"0.43193674087524414,0.4469088613986969,-1.2322666975705943e-07","0.4120798707008362,0.42667117714881897,0.0015214221784844995","0.40339186787605286,0.4000709056854248,0.0006865056348033249","0.40511029958724976,0.3753882646560669,-5.5051201343303546e-05","0.41350501775741577,0.3639562129974365,-9.621203207643703e-05","0.40816372632980347,0.38016918301582336,-0.0052468604408204556","0.40699225664138794,0.3509163558483124,-0.004923128057271242","0.4079582691192627,0.3635140061378479,-0.0029645569156855345","0.4087887406349182,0.3760104179382324,-0.0015592596028000116","0.4219350218772888,0.3752254247665405,-0.006315676029771566","0.41850632429122925,0.3543035089969635,-0.0031617728527635336","0.4183116853237152,0.3650476634502411,5.168361894902773e-05","0.4188752770423889,0.3765941560268402,0.0012140857288613915","0.4343736469745636,0.37420058250427246,-0.006593325175344944","0.4287984371185303,0.3609415590763092,-0.0033008940517902374","0.4283769130706787,0.37004974484443665,0.0001203869323944673","0.4287837743759155,0.3810403645038605,0.0011166458716616035","0.44463497400283813,0.37657925486564636,-0.006666049361228943","0.4377594292163849,0.36498260498046875,-0.003620075760409236","0.43696728348731995,0.3737442195415497,0.0003214108874090016","0.4379745125770569,0.3832888603210449,0.0027724693063646555"
0.0,"0.4306872487068176,0.4484127163887024,-1.2357043033262016e-07","0.4117002487182617,0.4281005859375,0.0014971193158999085","0.40386831760406494,0.40059325098991394,0.0007255516247823834","0.4062611758708954,0.37585878372192383,0.00010472366557223722","0.41496652364730835,0.3645446002483368,0.00018109519442077726","0.40701350569725037,0.38039302825927734,-0.005455745384097099","0.4064381420612335,0.3511970341205597,-0.004954330623149872","0.4078543186187744,0.3635643720626831,-0.002611760050058365","0.408551424741745,0.37687045335769653,-0.0008608477655798197","0.4211559295654297,0.3757922053337097,-0.006399733480066061","0.418191134929657,0.35552388429641724,-0.0030114534310996532","0.4183356463909149,0.3663354218006134,0.0003297024522908032","0.4186888039112091,0.3779926002025604,0.0015172191197052598","0.4339434802532196,0.3750726878643036,-0.006530593615025282","0.4286690950393677,0.3616366386413574,-0.003104122821241617","0.42835772037506104,0.3706086575984955,0.0002591832890175283","0.4286404252052307,0.38146817684173584,0.0011706015793606639","0.4443757236003876,0.37748512625694275,-0.006416511721909046","0.4373215138912201,0.36550450325012207,-0.0032251577358692884","0.43653368949890137,0.3742178678512573,0.000744772725738585","0.437581330537796,0.3836416006088257,0.003168679540976882"
0.0,"0.42576900124549866,0.44451889395713806,-1.0765584335103995e-07","0.40828466415405273,0.42145052552223206,0.003541597630828619","0.40183764696121216,0.3957826495170593,0.00307036517187953","0.40395587682724,0.3725971281528473,0.0024528673384338617","0.41156697273254395,0.36214467883110046,0.0023600703570991755","0.40254148840904236,0.3780806362628937,-0.004994160961359739","0.40581855177879333,0.34861239790916443,-0.0041577923111617565","0.4080049395561218,0.35972413420677185,-0.0015728612197563052","0.4075857996940613,0.37140488624572754,0.0003287018043920398","0.41624635457992554,0.37586280703544617,-0.006947000976651907","0.4174083471298218,0.35258275270462036,-0.0032294730190187693","0.41828444600105286,0.3628556728363037,0.0003932307299692184","0.41790977120399475,0.37449911236763,0.0017387665575370193","0.42942866683006287,0.3766879141330719,-0.007777468301355839","0.4283114969730377,0.3601396679878235,-0.003500824561342597","0.42855027318000793,0.3690348267555237,0.0004464280791580677","0.4281364977359772,0.37950748205184937,0.0015502760652452707","0.44066548347473145,0.38047489523887634,-0.00819488801062107","0.43736112117767334,0.3666274845600128,-0.0036636965814977884","0.43690720200538635,0.37549546360969543,0.001117026899009943","0.4373469650745392,0.3845887780189514,0.003868220141157508"
0.0,"0.41823065280914307,0.44021719694137573,-7.819135561248913e-08","0.4019566476345062,0.4150041937828064,0.004134956747293472","0.39700135588645935,0.38947513699531555,0.0032691247761249542","0.40090614557266235,0.36754000186920166,0.002072852337732911","0.4097056984901428,0.35919782519340515,0.0013628465821966529","0.39450156688690186,0.3739411234855652,-0.0060376753099262714","0.40310391783714294,0.3422881066799164,-0.005980381276458502","0.4067038297653198,0.3535023033618927,-0.003688190830871463","0.4048914909362793,0.36528393626213074,-0.0018878851551562548","0.4076719880104065,0.3732391595840454,-0.008886116556823254","0.41465508937835693,0.3478304445743561,-0.00548073323443532","0.41675907373428345,0.3584739863872528,-0.0017015400808304548","0.4149814546108246,0.3694745898246765,-0.00033747433917596936","0.4213559031486511,0.3758614659309387,-0.010567826218903065","0.425080269575119,0.35760143399238586,-0.0064134602434933186","0.4264732301235199,0.36726176738739014,-0.0019564914982765913","0.4251633882522583,0.37745779752731323,-0.0005661866161972284","0.43370336294174194,0.38127586245536804,-0.011845617555081844","0.4340943396091461,0.3655565679073334,-0.007331313565373421","0.4345317482948303,0.37525123357772827,-0.0020924992859363556","0.43413251638412476,0.3844778537750244,0.0009242993546649814"
0.0,"0.40663933753967285,0.4366375207901001,-5.871101294019354e-08","0.3924824595451355,0.408179372549057,0.002780996263027191","0.3906354606151581,0.3784705400466919,0.0009025788167491555","0.3984363079071045,0.35445261001586914,-0.0012723678955808282","0.4093211889266968,0.3459508419036865,-0.002724050311371684","0.38410210609436035,0.36625686287879944,-0.006591633893549442","0.3962649405002594,0.33514511585235596,-0.007882342673838139","0.4007682204246521,0.3474659025669098,-0.00664345221593976","0.398978054523468,0.3597075045108795,-0.0056114052422344685","0.39586761593818665,0.36754927039146423,-0.00965520367026329","0.4081892967224121,0.34356608986854553,-0.007683965377509594","0.41100576519966125,0.35564669966697693,-0.0048041436821222305","0.40846866369247437,0.3653434216976166,-0.004057052079588175","0.40918153524398804,0.37122640013694763,-0.011872400529682636","0.41865625977516174,0.35384833812713623,-0.00872058141976595","0.4198337495326996,0.3653208911418915,-0.0045261080376803875","0.4169265627861023,0.3743952214717865,-0.003278430551290512","0.42191803455352783,0.3769240379333496,-0.013950120657682419","0.4272753894329071,0.3624488115310669,-0.009530739858746529","0.42713117599487305,0.3741455078125,-0.0044464124366641045","0.42479974031448364,0.38258010149002075,-0.0017364451196044683"
0.0,"0.3956068158149719,0.43112868070602417,-5.3375973863012405e-08","0.3844963610172272,0.4018723964691162,0.002773479325696826","0.38520845770835876,0.36939311027526855,0.000368705514119938","0.3940977156162262,0.342321515083313,-0.0026512043550610542","0.4024825692176819,0.3329530358314514,-0.0046937428414821625","0.37305229902267456,0.3596259653568268,-0.005548885557800531","0.3876798450946808,0.32826846837997437,-0.008234430104494095","0.39294588565826416,0.3413856029510498,-0.008347352966666222","0.3915236294269562,0.3538159728050232,-0.00824979692697525","0.3822452127933502,0.3620806336402893,-0.009387125261127949","0.39849796891212463,0.3388429284095764,-0.009118298999965191","0.4018588662147522,0.3519302308559418,-0.0075909895822405815","0.39872026443481445,0.3602348566055298,-0.007757419720292091","0.3942144513130188,0.3660682439804077,-0.012611857615411282","0.4087553918361664,0.34865644574165344,-0.010914517566561699","0.41000285744667053,0.36133694648742676,-0.007436653133481741","0.4060042202472687,0.36875709891319275,-0.0066169570200145245","0.40683063864707947,0.37105467915534973,-0.015784302726387978","0.4174833297729492,0.3571085035800934,-0.012071013450622559","0.4171779155731201,0.3698704242706299,-0.007605677470564842","0.41350457072257996,0.37740135192871094,-0.0054658506996929646"
0.0,"0.3898131549358368,0.4261665344238281,-5.616703546706958e-08","0.3786952793598175,0.39642420411109924,0.0024432362988591194","0.3797421455383301,0.3632015287876129,-0.00047951165470294654","0.39023539423942566,0.33818164467811584,-0.004040511325001717","0.40164870023727417,0.33278095722198486,-0.006842729169875383","0.3682607412338257,0.3549134433269501,-0.006662383209913969","0.3839993476867676,0.32415100932121277,-0.009615200571715832","0.3887089788913727,0.3373073637485504,-0.00997242797166109","0.3868460953235626,0.34868553280830383,-0.010226134210824966","0.3771814703941345,0.35791146755218506,-0.010583942756056786","0.3954339027404785,0.33587735891342163,-0.010636198334395885","0.3981531262397766,0.3498659133911133,-0.00908688548952341","0.39443573355674744,0.35795363783836365,-0.009291940368711948","0.3888743817806244,0.3622337281703949,-0.01385978702455759","0.4052512049674988,0.34672674536705017,-0.012145694345235825","0.4058588445186615,0.35970085859298706,-0.008908451534807682","0.4012034237384796,0.36690300703048706,-0.008372943848371506","0.40130096673965454,0.36724331974983215,-0.017134971916675568","0.4126022160053253,0.35508665442466736,-0.013326211832463741","0.4118925929069519,0.36824995279312134,-0.009131689555943012","0.40793171525001526,0.37515294551849365,-0.0073386188596487045"
0.0,"0.3809283673763275,0.4184313416481018,-5.1977895765276116e-08","0.37189531326293945,0.38900506496429443,0.0020941917318850756","0.3740695118904114,0.35505908727645874,-0.0011025327257812023","0.3841392993927002,0.3282659947872162,-0.005020880606025457","0.3932279050350189,0.32371985912323,-0.00807266030460596","0.3593166470527649,0.3469007611274719,-0.006269413512200117","0.37787145376205444,0.31883367896080017,-0.009861284866929054","0.38327619433403015,0.3342285454273224,-0.01070436928421259","0.3817685544490814,0.34660372138023376,-0.011397491209208965","0.3660220503807068,0.3512435257434845,-0.010336301289498806","0.3878457546234131,0.3325544595718384,-0.011705785989761353","0.39075183868408203,0.34788763523101807,-0.010955456644296646","0.38686153292655945,0.3556203544139862,-0.011626585386693478","0.3760968744754791,0.35645660758018494,-0.013895156793296337","0.39662405848503113,0.3429551124572754,-0.01355421170592308","0.39746010303497314,0.35707899928092957,-0.010961665771901608","0.392688512802124,0.3632892668247223,-0.010688897222280502","0.38779351115226746,0.3612644374370575,-0.017502034083008766","0.4032941162586212,0.3518409729003906,-0.014606117270886898","0.40295305848121643,0.36514613032341003,-0.011272030882537365","0.3988266885280609,0.3712233006954193,-0.010086605325341225"
